ParticipantID,SEX,ParticipantAge,ParticipantEthnicity1,ParticipantEthnicity2,ParticipantEthnicity3,EducationLevel,FamilyIncome,ParticipantLTR,DatingLength,RelationshipSatisfaction,ProbabilityLeaveCurrentPartner,PartnerNumber,HadSex,AgeSex,ParticipantPrimarilyAttracted,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,Orientation,GenHealth1,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,BFFB1,BFFB2rc,BFFB3,BFFB4,BFFB5,BFFB6rc,BFFB7,BFFB8rc,BFFB9rc,BFFB10,BFFB11,BFFB12rc,BFFB13,BFFB14,BFFB15,BFFB16,BFFB17,BFFB18rc,BFFB19,BFFB20,BFFB21rc,BFFB22,BFFB23rc,BFFB24rc,BFFB24,BFFB25,BFFB26,BFFB27rc,BFFB28,BFFB29,BFFB30,BFFB31rc,BFFB32,BFFB33,BFFB34rc,BFFB35rc,BFFB36,BFFB37rc,BFFB38,BFFB39,BFFB40,BFFB41rc,BFFB42,BFFB43rc,BFFB44,IPC1,IPC2,IPC3,IPC4,IPC5,IPC6,IPC7,IPC8,IPC9,IPC10,IPC11,IPC12,IPC13,IPC14,IPC15,IPC16,IPC17,IPC18,IPC19,IPC20
106,0,29,1, , ,4,1,1,4,11,1,5,1,15,2,5,1,30,1,2,6,5,5,6,6,7,5,3,3,4,5,5,5,4,1,6,1,6,1,1,5,6,4,3,4,5,5,6,5,3,5,4,6,5,6,5,2, ,5,5,5,6,5,5,6,4,2,4,5,3,2,3,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307,4,5,5,3,4,4,5,5,6,6,5,6,5,5,4,4,6,7,5,5,2,2,3,3,4,2,4,3,2,5,5,2,3,3,3,4,3,2,4,3,3,4,3,2,4,3,4,1,3,3,4,4,4,4,4,3,3,4,4,4,4,2,3,1,4,5,5,6,5,5,4,6,7,6,6,3,4,3,4,4,5,4,4,6,4
123,1,24,3, , ,4,6,1,2,10,8,1,1,23,1,1,1,1,1,5,6,5,3,4,5,3,4,5,3,5,6,4,2,4,5,4,3,4,6,3,5,6,5,3,4,5,6,2,3,4,5,3,4,6,4,2,5,4,5,2,3,4,5,4,2,3,4,5,6,4,5,4,.394169620347785,.538352118707369,.180102342514866,-1.01302065400516,6,4,3,4,5,6,5,3,4,5,6,5,3,4,5,4,6,5,3,4,4,4,3,4,3,4,3,2,3,4,4,2,3,2,3,4,3,4,3,4,4,3,3,2,4,3,3,3,4,2,2,3,4,3,2,3,3,3,4,3,2,3,4,3,2,6,4,3,5,5,4,3,3,6,5,5,5,4,5,5,1,2,4,6,4
132,1,24,1, , ,4,7,1,5,11,10,1,1,21,1,1,1,1,1,5,7,7,5,4,5,5,4,4,4,4,5,4,5,5,6,5,6,4,5,4,5,5,4,4,6,5,6,5,6,4,6,5,5,5,4,2,3,4,5,4,6,5,5,6,5,5,4,5,5,3,3,5,.394169620347785,1.42590561171141,.180102342514866,.504442937912773,6,6,5,4,6,5,6,4,6,7,5,7,7,5,6,6,6,5,7,5,3,5,2,2,2,4,2,4,3,2,2,3,4,3,3,4,3,3,3,4,3,5,4,3,3,4,4,4,4,3,2,2,3,3,3,3,3,3,4,2,3,3,2,3,3,5,5,4,5,5,4,6,7,1,1,6,7,5,7,6,7,4,5,4,5
161,1,29,2, , ,4,6,1,5,10,8,2,1,19,1,2,1,5,1,5,6,5,7,6,5,6,6,6,5,7,6,5,6,7,6,5,7,6,7,6,6,4,5,6,7,6,3,1,2,3,2,1,2,2,1,1,6,3,2,2,1,2,3,1,2,2,3,2,1,6,7,6,.394169620347785,.538352118707369,.964833977758214,1.26317473387174,6,5,7,6,5,6,7,7,5,6,6,5,7,6,5,6,7,6,5,6,5,3,4,4,5,3,5,2,2,5,4,1,3,4,4,5,4,3,4,4,1,4,1,3,3,4,3,2,4,5,5,2,4,5,2,3,4,1,4,4,3,2,4,1,4,7,5,6,7,6,5,6,7,5,6,6,5,7,6,6,5,4,6,5,7
181,1,27,2, , ,4,1,2, , , ,5,1,21,1,1,1,6,1,4,6,5,4,5,5,6,4,5,6,4,7,5,5,6,5,5,6,4,5,5,6,5,5,4,4,6,3,4,4,3,4,3,4,2,2,4,5,4,3,2,2,3,2,1,4,3,2,2,2,5,6,5,-.44201679969636,1.42590561171141,.964833977758214,-.254288858046192,5,5,4,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,3,2,3,4,4,3,4,3,2,3,3,3,4,3,4,3,4,3,4,3,2,3,3,2,4,3,3,2,4,3,4,3,3,3,2,3,3,2,3,3,4,3,3,3,4,4,5,4,5,5,4,5,5,5,6,5,6,4,5,6,5,6,5,5,6
200,1,31,2, , ,3,1,1,5,10,10,3,1, ,1,1,1,1,1,5,6,5,6,5,7,6,5,6,5,7,6,7,7,5,6,5,7,6,6,7,6,7,5,6,6,7,2,3,2,1,2,2,1,2,2,3,6,3,2,3,2,1,2,2,2,2,3,2,3,7,7,6,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307,6,6,6,4,7,6,6,5,7,6,6,6,7,5,7,6,6,5,5,6,4,2,3,4,4,1,4,2,3,4,4,2,3,5,4,5,4,3,4,4,1,4,2,1,5,4,5,3,4,5,4,2,5,4,1,3,4,1,3,4,4,1,3,2,4,6,7,5,6,4,5,7,6,6,7,6,5,7,6,6,5,6,5,7,6
215,1,58,1, , ,3,2,2, , , ,10,1,17,1,10,0,0,1,3,2,4,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,4,4,5,4,4,5,5,5,5,5,6,5,5,5,5,5,5,3,2,4,4,4,4,4,6,3,-1.27820321974051,-.349201374296671,.180102342514866,-.254288858046192,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4,4,4,4,2,4,4,4,4,2,4,4,4,4,2,2,3,3,4,2,2,4,3,2,2,4,2,3,4,2,2,3,3,3,3,3,3,4,4,3,2,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
217,1,28,3, , ,5,7,1,4,10,9,5,1,18,1,5,3,4,1,4,7,6,7,6,6,7,6,7,6,5,6,5,6,6,7,5,6,7,6,6,7,6,7,6,6,7,1,3,2,2,3,2,2,3,2,2,7,2,1,1,2,2,1,2,2,2,2,1,2,6,6,6,.394169620347785,2.31345910471545,1.74956561300156,2.0219065298307,7,6,7,6,7,7,6,6,6,7,7,6,7,6,6,7,7,6,6,7,5,2,4,5,5,2,4,1,2,4,5,1,4,5,4,5,5,2,4,5,2,4,1,2,4,5,5,2,4,5,5,2,4,5,1,2,4,1,5,4,4,2,5,2,5,7,6,7,6,6,6,7,6,6,7,6,6,7,5,6,5,7,6,6,6
224,1,43,2, , ,4,2,1,5,10,2, ,2, ,1,2,1,1,1,4,5,4,4,4,4,5,4,4,3,4,5,5,5,4,5,4,4,5,4,4,4,4,3,4,3,4,4,5,6,6,6,5,5,6,6,3,4,4,4,3,4,5,4,3,4,3,3,3,3,4,4,5,-.44201679969636,1.42590561171141,.964833977758214,.504442937912773,5,4,3,4,4,4,4,3,4,4,4,3,4,5,4,4,4,3,4,5,2,3,3,3,3,2,3,4,3,3,3,3,2,4,3,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,4,3,3,2,3,2,3,3,2,3,5,5,4,4,4,5,4,4,3,4,5,5,5,4,5,4,5,5,4,5
236,1,27,2,3, ,4,3,1,2,7,8, ,1,27,1,1,1,3,1,4,5,2,6,5,3,4,5,5,2,6,5,6,6,7,6,4,6,4,3,5,5,3,6,5,3,6,6,4,6,7,6,4,6,5,7,5,1,3,5,7,3,4,6,4,6,3,5,5,4,4,1,3,-.44201679969636,-1.23675486730071,.964833977758214,.504442937912773,5,4,6,6,5,7,6,4,6,6,6,5,7,6,4,6,7,5,6,6,4,3,3,4,4,3,5,2,3,3,3,2,3,3,4,3,3,4,5,5,3,3,2,4,2,3,3,1,3,2,2,2,4,3,2,3,4,2,3,5,2,3,3,2,3,4,4,4,4,4,4,4,6,4,5,6,6,4,6,4,5,4,5,4,4
241,1,27,1, , ,4,6,1,4,10,10,1,1,24,1,1,1,1,1,5,6,7,5,6,4,6,5,5,5,5,4,5,5,4,6,5,6,5,6,6,6,5,5,5,5,4,7,5,5,5,5,5,7,5,4,5,3,7,6,6,7,5,6,7,7,4,5,5,5,3,4,3,-.44201679969636,.538352118707369,2.53429724824491,1.26317473387174,6,4,4,4,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,3,2,5,4,5,2,5,3,3,4,3,4,5,2,3,3,3,3,3,3,3,4,2,4,2,3,2,3,3,3,3,3,3,3,3,2,4,3,4,5,3,2,4,1,4,3,6,7,6,6,5,5,5,6,5,5,6,5,6,5,6,5,6,5,6
257,1,31,3, , ,5,1,1,5,9,10,1,2, ,1,1,1,0,1,4,4,3,2,5,4,3,3,5,4,5,4,3,2,4,5,4,4,3,5,4,5,4,5,5,4,3,5,6,6,6,6,5,6,6,5,6,3,4,6,4,3,5,5,6,6,5,4,6,6,4,5,3,-.44201679969636,-.349201374296671,.964833977758214,-.254288858046192,5,4,3,5,6,5,4,5,4,3,5,6,5,4,3,6,5,5,6,4,4,3,1,1,2,3,2,4,3,3,4,2,3,3,2,2,3,3,2,4,3,2,3,4,2,4,2,3,2,2,2,2,3,2,3,4,2,2,4,3,2,3,4,4,3,6,3,5,6,5,4,3,5,5,4,4,3,6,5,4,5,4,3,4,5
263,1,56,1, , ,4,3,1,3,6,8,4,1,27,1,3,1,2,1,4,5,2,6,4,4,6,3,6,1,6,5,3,5,6,5,2,4,5,4,5,6,4,6,3,4,7,3,4,6,4,5,6,5,5,6,6,6,6,6,3,2,2,5,6,6,3,4,6,3,4,2,2,-.44201679969636,1.42590561171141,.964833977758214,1.26317473387174,6,3,5,3,5,4,6,5,3,5,5,4,5,6,3,5,3,5,3,5,3,4,4,3,3,3,5,1,2,2,5,2,5,4,3,3,4,2,3,4,3,5,2,3,3,5,3,3,4,5,4,3,3,4,2,3,4,1,3,5,3,2,4,4,4,5,3,5,7,5,6,3,5,5,6,5,4,6,4,6,4,6,5,3,5
272,1,29,3, , ,5,1,1, ,8,8,2,1,20,1,2,2,2,1,4,3,5,6,6,5,5,5,2,4,3,3,5,5,6,2,3,4,3,3,3,4,4,3,4,5,2,2,3,2,3,5,3,2,3,3,3,6,2,2,3,3,2,3,2,5,5,2,3,3,5,6,5,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192,5,6,6,6,5,5,4,5,6,5,5,6,6,5,6,6,7,6,5,5,4,2,5,3,4,4,4,2,1,4,4,4,2,1,4,4,5,2,4,5,2,4,2,2,4,5,5,2,4,5,4,2,3,4,2,2,5,2,4,5,5,2,5,4,5,5,6,6,5,6,7,6,7,6,5,5,6,5,4,5,5,4,6,7,6
275,1,29,3, , ,4,2,1,5,8, ,2,1,21,1,2,2,0,1,5,6,7,5,3,5,6,4,3,6,7,6,5,3,5,6,6,3,4,5,6,6,4,2,4,5,6,3,5,2,4,3,2,4,3,4,4,6,3,1,3,4,3,2,3,2,1,3,5,6,5,5,4,.394169620347785,.538352118707369,.180102342514866,.504442937912773,6,7,4,3,4,5,5,4,3,5,6,5,2,5,7,5,5,3,5,6,4,1,4,2,3,2,5,2,3,2,4,2,5,4,2,3,4,3,2,3,2,5,3,1,5,4,3,4,3,4,5,2,3,3,2,1,4,4,3,4,5,2,2,3,4,6,7,6,4,3,5,6,7,4,3,6,7,5,4,3,5,7,5,4,5
279,1,44,6, , ,5,6,1,5,9,1,3,2, ,1,3,3,0,1,4,1,5,6,1,1,1,2,1,1,1,4,1,4,1,1,1,1,2,1,2,1,4,2,1,1,1,5,5,5,4,5,1,3,3,3,4,4,7,7,6,5,1,2,4,4,5,5,5,4,6,6,6,-.44201679969636,-1.23675486730071,-.604629292728481,-.254288858046192,5,5,6,6,6,4,7,5,4,4,4,4,7,5,7,5,5,5,4,7,1,4,5,2,5,2,4,4,3,4,4,5,4,2,4,3,4,4,2,4,3,3,5,2,4,4,3,3,4,2,4,3,3,3,3,3,3,5,4,2,3,4,4,4,4,6,5,5,5,6,5,5,5,4,4,5,5,5,5,5,4,5,5,6,5
288,1,28,1, , ,2,2,1,5,7,2,3,1,18,1,10,15,10,1,2,1,1,5,3,1,7,1,2,1,2,3,1,3,1,6,3,5,4,6,2,2,2,5,5,5,4,6,6,6,6,6,6,6,7,7,7,6,2,3,2,7,7,7,1,1,7,7,7,7,5,5,6,-.44201679969636,-1.23675486730071,.180102342514866,-1.77175244996412,5,6,3,6,3,7,1,7,6,3,1,7,3,2,2,1,1,1,1,1,2,1,4,4,4,2,2,2,5,4,2,5,2,5,4,1,4,2,5,5,2,1,2,5,1,3,1,1,4,5,4,1,4,5,5,1,1,3,2,5,5,4,4,4,4,5,5,5,5,5,7,6,3,4,5,6,6,5,6,6,6,6,2,2,5
310,0,26,1, , ,4,2,1,4,9,9,1,2, ,2,1,1,3,1,3,7,2,4,2,5,7,2,4,5,7,2,4,3,6,5,7,5,2,4,6,5,1,4,3,7,5,3,2,5,4,6,2,4,5,3,4,6,1,2,6,3,4,2,3,2,3,1,6,4,1,6,4,-.44201679969636,-.349201374296671,.964833977758214,-1.01302065400516,5,7,3,5,2,4,4,7,6,3,4,6,7,3,4,7,3,4,3,6,3,4,5,3,5,2,2,3,4,4,5,2,5,2,3,5,3,5,5,3,4,4,3,1,5,4,2,5,4,3,2,1,2,2,2,3,5,2,2,4,3,2,3,1,2,5,4,7,3,2,5,4,6,2,3,7,6,2,5,3,4,7,2,4,5
311,0,29,7, , ,5,3,1,5,5,5,1,1,20,2,1,1,6,1,5,5,5,4,4,4,5,4,6,5,4,4,3,4,4,4,6,5,6,6,5,6,5,4,5,6,6,3,3,3,4,4,3,2,4,4,4,5,3,2,3,4,4,5,4,3,2,3,4,3,5,6,4,-1.27820321974051,-.349201374296671,.180102342514866,-1.01302065400516,6,7,5,6,5,5,4,6,6,5,6,5,4,4,6,5,3,5,6,4,4,1,4,4,5,1,5,2,2,3,4,2,4,5,5,5,4,2,5,5,1,4,1,2,4,4,4,1,5,4,3,2,5,5,2,3,3,2,4,5,5,2,4,3,4,6,5,6,6,6,6,5,6,6,7,7,6,5,6,5,6,6,5,5,6
313,0,33,1, , ,4,7,1,5,8,1,5,1,20,2,16,1,2,1,2,1,2,3,4,4,5,4,4,2,4,5,5,5,6,2,5,3,4,2,5,4,3,5,3,5,4,5,4,6,4,3,4,5,4,5,4,5,4,6,4,3,5,3,5,4,5,3,4,5,4,4,4,1.23035604039193,-.349201374296671,1.74956561300156,.504442937912773,4,3,2,4,5,5,4,3,4,5,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,4,2,3,4,4,3,3,3,4,2,4,3,4,3,3,2,3,4,3,3,3,4,2,2,2,3,3,2,3,2,3,2,4,2,4,2,2,3,3,3,4,3,4,4,5,4,4,3,6,2,3,5,4,3,4,5,5,5,4,3
319,0,35,1, , ,4,2,3, , , ,2,1,22,2,1,0,0,1,2,2,7,1,1,2,6,2,7,7,4,1,6,2,1,3,7,4,2,6,2,2,1,1,2,6,1,2,6,3,2,6,1,7,3,5,3,4,7,6,3,5,6,5,2,3,6,4,3,5,4,3,4,-.44201679969636,2.31345910471545,.964833977758214,-.254288858046192,2,5,2,5,3,6,3,6,2,7,3,6,7,3,4,3,6,2,3,2,2,3,5,1,2,4,2,2,3,3,3,3,5,1,2,1,5,3,4,3,1,5,3,1,5,1,1,5,1,1,3,5,5,1,1,4,5,4,1,2,1,1,2,4,5,4,1,2,1,7,2,7,5,3,1,4,4,7,1,4,2,4,2,7,7
325,0,25,3, , ,4,5,1,4,10,7,3,1,20,2,2,3,2,1,3,6,5,4,6,7,5,4,7,5,4,6,7,4,6,6,3,5,7,4,5,6,4,5,7,5,4,4,2,1,3,4,5,2,4,3,3,7,3,4,2,1,3,4,3,3,2,2,3,4,6,6,5,-.44201679969636,-.349201374296671,.964833977758214,1.26317473387174,5,7,5,4,6,7,5,4,6,5,6,5,4,6,7,6,4,6,5,7,4,3,4,5,4,4,3,2,1,3,4,2,3,4,5,4,2,3,5,4,4,4,2,3,3,4,5,3,4,5,4,3,4,5,2,3,4,1,4,2,3,1,4,3,4,6,5,4,6,7,4,3,5,7,5,6,4,6,7,4,6,5,6,7,6
327,0,28,3, , ,4,1,1,2,6,8,3,1,18,2,2,2,2,1,4,5,5,3,4,5,3,4,5,6,3,3,3,4,4,5,4,6,4,5,4,6,4,4,6,5,4,4,3,3,3,3,4,3,3,5,5,3,6,5,3,6,4,4,5,5,5,5,4,5,4,3,4,-.44201679969636,.538352118707369,.180102342514866,-1.01302065400516,5,6,6,6,7,5,4,4,6,5,1,7,6,5,6,5,6,5,6,6,3,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,4,2,4,4,2,4,4,1,5,5,3,2,3,2,4,3,3,4,2,2,3,4,3,3,3,2,3,2,3,4,5,6,6,5,5,5,6,5,5,4,5,6,5,6,5,6,7,6,4
344,0,30,3, , ,5,1,1,4,6,5,2,1,18,2,3,1,1,1,4,5,4,3,3,5,5,3,3,4,5,4,3,3,5,5,4,3,4,5,4,5,4,3,4,5,4,5,4,3,4,5,5,4,4,3,3,4,5,5,4,4,3,4,5,5,4,3,4,5,3,4,5,-.44201679969636,-.349201374296671,.180102342514866,.504442937912773,6,5,4,3,4,5,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,3,4,3,4,3,2,2,3,2,4,3,4,3,2,3,2,4,3,4,3,2,3,3,2,3,2,4,3,3,4,3,4,2,3,2,3,4,3,2,3,3,2,2,6,5,4,3,4,5,5,4,3,4,4,5,6,5,4,3,4,5,6,5
